"","country","life_ladder","log_gdp_per_capita","social_support","life_expec","freedom_to_make_life_choices","generosity","perceptions_of_corruption","positive_affect","negative_affect","confidence_in_national_government","democratic_quality","delivery_quality","standard_deviation_of_ladder_by_country_year","standard_deviation_mean_of_ladder_by_country_year","gini_index_world_bank_estimate","gini_index_world_bank_estimate_average_2000_15","gini_of_household_income_reported_in_gallup_by_wp5_year","continent"
"60","Japan",5.9106764793396,10.5681686401367,0.881961286067963,75.3172912597656,0.849396586418152,-0.223296791315079,0.659198641777039,0.740387618541718,0.175512179732323,0.412489950656891,NA,NA,1.9502569437027,0.329954952001572,NA,0.321,0.426153689622879,"Asia"
"61","Jordan",4.80808258056641,9.02533340454102,0.814664542675018,64.4178771972656,0.766262471675873,-0.151522874832153,NA,0.62779837846756,0.391505181789398,NA,NA,NA,2.52389240264893,0.524927020072937,NA,0.343,0.363606214523315,"Asia"
"62","Kazakhstan",5.88235139846802,10.071870803833,0.914093196392059,64.1999969482422,0.745243966579437,-0.0491784922778606,0.755250692367554,0.756762206554413,0.171486407518387,0.755705773830414,NA,NA,1.74532377719879,0.29670512676239,NA,0.295066666666667,0.337242871522903,"Asia"
"63","Kenya",4.47565412521362,8.01025485992432,0.714604318141937,58.6898384094238,0.853394389152527,0.250179260969162,0.854000389575958,0.788452208042145,0.230210304260254,0.63786256313324,NA,NA,2.5323634147644,0.565808534622192,NA,0.485,0.521331965923309,"Africa"
"64","Kuwait",6.09390544891357,11.1117925643921,0.853491306304932,65.3789596557617,0.884181618690491,-0.048504289239645,NA,0.692071914672852,0.307320803403854,NA,NA,NA,2.35575318336487,0.386575281620026,NA,NA,0.591861426830292,"Asia"
"65","Kyrgyzstan",5.62953662872314,8.11204051971436,0.882586658000946,62.8996467590332,0.859389781951904,0.166667371988297,0.87449449300766,0.755125224590302,0.160438314080238,0.561672747135162,NA,NA,1.90139102935791,0.337752670049667,NA,0.306375,0.382150888442993,"Asia"
"66","Laos",4.62314081192017,8.70856761932373,0.707335770130157,57.8695755004883,0.891000747680664,0.0764825940132141,0.591616809368134,0.872791767120361,0.344225883483887,0.839935004711151,NA,NA,1.88197386264801,0.407076895236969,NA,0.348,0.5850870013237,"Asia"
"67","Latvia",5.97781753540039,10.1330327987671,0.895098745822906,65.109260559082,0.699520111083984,-0.163831442594528,0.798378109931946,0.623312771320343,0.23175311088562,0.264000505208969,NA,NA,1.81480312347412,0.303589582443237,NA,0.362,0.36218523979187,"Europe"
"68","Lebanon",5.15398979187012,9.49157905578613,0.776583015918732,68.8638916015625,0.604554176330566,-0.0750281438231468,0.910727262496948,0.515443921089172,0.243549212813377,0.217718094587326,NA,NA,1.92976760864258,0.374422073364258,NA,0.318,0.326644003391266,"Asia"
"69","Liberia",4.4244909286499,6.62941408157349,0.684866845607758,52.7868499755859,0.733389914035797,0.0405767597258091,0.866806387901306,0.667946457862854,0.391330540180206,0.554991543292999,NA,NA,3.39373993873596,0.767035126686096,NA,0.3485,0.590849876403809,"Africa"
"70","Libya",5.64685249328613,NA,0.822758793830872,61.4847068786621,0.77869588136673,NA,0.673065543174744,0.69704931974411,0.379374176263809,NA,NA,NA,2.50778794288635,0.444103688001633,NA,NA,0.586069345474243,"Africa"
"71","Lithuania",6.27294063568115,10.282657623291,0.926316618919373,67.0416946411133,0.749307334423065,-0.182276621460915,NA,0.607613146305084,0.195118829607964,0.321247279644012,NA,NA,2.17580437660217,0.346855580806732,NA,0.353090909090909,0.428504139184952,"Europe"
"72","Luxembourg",7.0613808631897,11.4652309417725,0.905435502529144,72.2013092041016,0.902821719646454,0.0297714453190565,0.330173581838608,0.765816867351532,0.184467002749443,0.73892205953598,NA,NA,1.42447590827942,0.201727673411369,NA,0.315363636363636,0.292349696159363,"Europe"
"73","Madagascar",4.07862043380737,7.24925327301025,0.626331984996796,56.9944839477539,0.570347905158997,-0.0255079120397568,0.847260773181915,0.751698076725006,0.374838024377823,0.541916131973267,NA,NA,2.32891488075256,0.571005523204803,NA,0.431,0.578316509723663,"Africa"
"74","Malawi",3.41686296463013,7.00270318984985,0.555422723293304,54.2346420288086,0.847920775413513,0.0215600579977036,0.734636604785919,0.6086665391922,0.312088340520859,0.620332539081573,NA,NA,2.76029324531555,0.807844281196594,NA,0.43,0.574055969715118,"Africa"
"75","Mali",4.74185037612915,7.60855913162231,0.741359412670135,49.1786994934082,0.753213346004486,-0.0645472854375839,0.862655162811279,0.74183577299118,0.392784148454666,0.504820108413696,NA,NA,2.51166796684265,0.529680967330933,NA,0.372666666666667,0.549026548862457,"Africa"
"76","Malta",6.67566585540771,10.5026998519897,0.937331795692444,71.8295135498047,0.923642933368683,0.241762459278107,0.690494537353516,0.720753371715546,0.302443116903305,0.752005159854889,NA,NA,1.99455034732819,0.298779249191284,NA,NA,0.419637620449066,"Europe"
"77","Mauritania",4.67815971374512,8.18770790100098,0.77922523021698,53.3353385925293,0.527446806430817,-0.134765625,0.777314066886902,0.637107074260712,0.272321939468384,0.292109727859497,NA,NA,2.13054990768433,0.455424785614014,NA,0.36825,0.433928310871124,"Africa"
"78","Mauritius",6.17411756515503,9.91465473175049,0.910142242908478,65.5891571044922,0.912307500839233,0.0739294141530991,0.818179905414581,0.74776017665863,0.168721184134483,0.614670753479004,NA,NA,2.24779057502747,0.364066690206528,NA,0.3575,0.41562682390213,"Africa"
"79","Mexico",6.41029930114746,9.74196910858154,0.799839377403259,68.0982284545898,0.86140513420105,-0.206639215350151,0.800893068313599,0.842642307281494,0.230990886688232,0.256953150033951,NA,NA,2.2362072467804,0.348845988512039,NA,0.48475,0.43877112865448,"Americas"
"80","Moldova",5.32553052902222,8.54578876495361,0.830767929553986,63.701244354248,0.552825212478638,-0.00317887216806412,0.926333785057068,0.581488788127899,0.25947779417038,0.132729634642601,NA,NA,1.88516926765442,0.353987127542496,NA,0.3299375,0.433169960975647,"Europe"
"81","Mongolia",5.33385038375854,9.31854820251465,0.924250781536102,62.3126106262207,0.674627423286438,0.106451347470284,0.864952206611633,0.675165295600891,0.213599517941475,0.2750583589077,NA,NA,2.09516167640686,0.392804741859436,NA,0.335833333333333,0.389351516962051,"Asia"
"82","Montenegro",5.6147985458374,9.69449710845947,0.881199836730957,67.1421890258789,0.62590628862381,-0.0848907828330994,0.755680024623871,0.519128143787384,0.349785089492798,0.35154989361763,NA,NA,2.20751190185547,0.393159598112106,NA,0.3093,0.352438509464264,"Europe"
"83","Morocco",5.3124828338623,8.91504383087158,0.641193091869354,65.3388595581055,0.81425803899765,-0.227919384837151,0.840502440929413,0.559288203716278,0.322715908288956,NA,NA,NA,2.28716826438904,0.430527180433273,NA,0.4065,0.527966916561127,"Africa"
"84","Mozambique",4.27986335754395,7.04657745361328,0.678463697433472,49.9577445983887,0.822670519351959,-0.0215025972574949,0.682108938694,0.648381412029266,0.35317650437355,0.759234368801117,NA,NA,2.98501992225647,0.697456836700439,NA,0.463,0.608845353126526,"Africa"
"85","Namibia",4.44130611419678,9.20336246490479,0.828339040279388,55.4954261779785,0.810401856899261,-0.201765850186348,0.831302881240845,0.720678210258484,0.277252167463303,0.7458536028862,NA,NA,2.73977327346802,0.616884589195251,NA,0.6215,0.602735936641693,"Africa"
"86","Nepal",4.73669242858887,7.80130910873413,0.816383302211761,61.2659568786621,0.845147609710693,0.146511137485504,0.770177125930786,0.570577025413513,0.37597793340683,0.559578537940979,NA,NA,2.46845364570618,0.521134436130524,NA,0.383,0.463746637105942,"Asia"
"87","Netherlands",7.45896530151367,10.7918138504028,0.936501324176788,71.6199951171875,0.920319736003876,0.237440466880798,0.363133639097214,0.852184891700745,0.184519842267036,0.669553637504578,NA,NA,1.31847989559174,0.176764443516731,NA,0.286909090909091,0.441935479640961,"Europe"
"88","New Zealand",7.32718276977539,10.4757623672485,0.954920649528503,71.6143035888672,0.942279458045959,0.285056710243225,0.221887484192848,0.817431271076202,0.171716570854187,0.609015464782715,NA,NA,1.65033578872681,0.2252347022295,NA,NA,0.446442186832428,"Oceania"
"89","Nicaragua",6.47635650634766,8.57531833648682,0.838043689727783,66.2517852783203,0.922162771224976,0.01032670494169,0.672963321208954,0.849764168262482,0.308447897434235,0.590425193309784,NA,NA,2.65725326538086,0.410300642251968,NA,0.48275,0.442813009023666,"Americas"
"90","Niger",4.61567354202271,6.83123159408569,0.582109570503235,51.3259429931641,0.683557569980621,-0.0122362710535526,0.777660012245178,0.731161415576935,0.426522374153137,0.601117253303528,NA,NA,2.78039789199829,0.602381825447083,NA,0.368,0.659296870231628,"Africa"
"91","Nigeria",5.32192802429199,8.58562088012695,0.733468532562256,45.8731575012207,0.825905561447144,0.113301485776901,0.834891974925995,0.724990546703339,0.235968768596649,0.558790743350983,NA,NA,2.94790315628052,0.553916394710541,NA,0.4155,0.468599230051041,"Africa"
"92","Norway",7.57874488830566,11.0817890167236,0.95012766122818,71.0865859985352,0.953016817569733,0.210104033350945,0.249711379408836,0.84909999370575,0.2029138058424,0.717159748077393,NA,NA,1.62172603607178,0.213983461260796,NA,0.271727272727273,0.32811313867569,"Europe"
"93","Pakistan",5.83087062835693,8.51900672912598,0.690263569355011,57.4629974365234,0.71265709400177,0.0303281117230654,0.71392822265625,0.586166977882385,0.308341085910797,0.557435154914856,NA,NA,1.77806794643402,0.30494037270546,NA,0.312571428571429,0.4116450548172,"Asia"
"94","Palestinian Territories",4.62813282012939,NA,0.824345111846924,63.0724983215332,0.631611287593842,NA,0.830646336078644,0.596765577793121,0.41607204079628,0.414400935173035,NA,NA,2.52167415618896,0.544857800006866,NA,NA,0.478864818811417,"Asia"
"95","Panama",6.5676589012146,10.0027141571045,0.911904811859131,68.04541015625,0.899573504924774,-0.1640804708004,0.840777099132538,0.832688808441162,0.242319330573082,0.390996098518372,NA,NA,2.67718768119812,0.40763196349144,NA,0.53675,0.474342674016953,"Americas"
"96","Peru",5.71093654632568,9.41334915161133,0.830123364925385,65.4072418212891,0.826552152633667,-0.16674742102623,0.895384132862091,0.789390861988068,0.39387372136116,0.254595339298248,NA,NA,2.59431409835815,0.454271227121353,NA,0.4891875,0.479469627141953,"Americas"
"97","Philippines",5.5942702293396,8.93896770477295,0.851028561592102,60.2514915466309,0.925703108310699,-0.147851660847664,0.711165547370911,0.768981456756592,0.340621501207352,0.837730050086975,NA,NA,2.5971851348877,0.464258074760437,NA,0.418833333333333,0.503399193286896,"Asia"
"98","Poland",6.20126819610596,10.2111396789551,0.881854116916656,69.0968017578125,0.830842614173889,-0.133134007453918,NA,0.677435517311096,0.203387796878815,0.502480447292328,NA,NA,1.62744283676147,0.262437105178833,NA,0.334733333333333,0.260087877511978,"Europe"
